formula,space group,piezoelectric modulus (C/m^2),density (g/cm^3),band gap (eV)
Cu8GeS6-mp-5546,Pmn2_1,1.5971,5.3354,1.2399
Li2MnGeO4-mp-1210796,Pmn2_1,1.5875,3.6499,2.6899
Li2CaSiO4-mp-7610,I-42m,1.5875,2.8623,5.4874
Rb2SnO3-mp-753798,Cmc2_1,1.5861,4.6177,2.1292
MgO-mp-775808,P3m1,1.5767,2.7283,3.4114
Sm3CuSnS7-mp-558042,P6_3,1.5759,5.3215,1.7843
Mg2NbN3-mp-1029408,Cmc2_1,1.5733,3.7517,2.5163
Al(IO3)3-mp-555903,P6_3,1.5732,4.7733,3.3467
Zn2CuWO6-mvc-6787,P1,1.5696,6.8161,0.464
Mg2TaN3-mp-1029442,Cmc2_1,1.559,5.5679,2.9433
Na4Sr(SiO3)3-mp-559773,R32,1.5576,2.9256,4.0943
BaLaZnRuO6-mp-39259,P1,1.5543,6.7263,0.3832
Sr(PIr)2-mp-15074,P3_221,1.5511,9.3364,0.3761
BaGe7N10-mp-1029679,Pc,1.5508,5.0533,2.6487
LaTlO3-mp-29257,P6_3mc,1.5495,8.1821,0.3504
MnF2-mp-615138,P-42m,1.5493,4.2028,3.2872
Li3VOF5-mp-757350,Imm2,1.5377,2.3659,2.9909
Ag2S-mp-32868,P1,1.536,6.3384,0.6053
B4PbO7-mp-9747,Pmn2_1,1.5332,5.6757,4.5596
LaCO3F-mp-638731,P-62m,1.5312,4.7378,3.9263
MgSnN2-mp-1029791,Pna2_1,1.5306,4.9572,1.0621
BaAlSi5N7O2-mp-1227994,P1,1.5287,3.61,4.0466
SbF3-mp-1880,Ama2,1.5282,4.2339,4.5411
TiH2SO6-mp-505139,P2_12_12_1,1.5253,2.6103,2.5175
Bi2O3-mp-37036,Pm,1.5209,8.4154,1.7129
BaZnF4-mp-3881,Cmc2_1,1.5172,4.8905,4.6687
Na5Li3Ti5O14-mp-761849,P1,1.5171,3.401,2.9605
LiBi3(PO5)2-mp-26173,P1,1.5168,6.2564,3.3947
La3CuSnS7-mp-510566,P6_3,1.5134,4.8233,1.8997
Li2MgGeO4-mp-1210797,Pmn2_1,1.5108,3.232,3.77
BaCoO2-mp-19086,P3_121,1.5043,5.4449,0.5262
Li2V(PO4)2-mp-583836,Cc,1.5022,2.9202,1.4963
KIO3-mp-552729,R3m,1.4992,3.8199,3.002
LiCuO2-mp-773044,Cm,1.4989,3.8916,0.3343
BaSi6N8O-mp-557414,Imm2,1.4974,3.6938,4.293
SnPS3-mp-13923,Pc,1.4946,3.2446,2.219
Y3Si6N11-mp-1029652,P4bm,1.4906,4.0249,3.1206
VOF3-mp-760313,C2,1.4872,2.9162,2.2058
Rb2CoO3-mp-761568,Cmc2_1,1.4862,4.4507,0.5079
Co(HO)2-mp-625943,P3m1,1.4822,3.4187,2.2891
VOF3-mp-781081,P2_1,1.479,2.8294,3.1159
Li2CoGeO4-mp-756582,Pc,1.4784,3.8295,2.4031
Sm3Si6N11-mp-16995,P4bm,1.4783,5.1776,3.1873
AlHO2-mp-625054,Cmc2_1,1.4761,3.0042,5.2866
CeSe2-mp-1021484,P-62m,1.4712,6.771,0.0463
NaGaO2-mp-3338,Pna2_1,1.4696,3.7827,2.86
Zr3Ni3Sb4-mp-17926,I-43d,1.4671,8.1547,0.539
LiAsSe2-mp-1078724,Cc,1.4658,4.4193,0.7871
CdSO4-mp-5679,Pmn2_1,1.4609,4.4328,3.0499
Li3VO4-mp-19219,Pmn2_1,1.4588,2.5361,4.0554
TeSe2-mp-1217269,C2,1.4574,5.1395,0.8973
NaHO-mp-625051,R3m,1.4569,2.0782,3.2972
LiVF3-mp-752764,R3c,1.4555,3.2616,2.5688
CdSeO4-mp-772052,Pmn2_1,1.4548,4.9857,1.8945
LiCoSiO4-mp-765142,Cc,1.4539,2.7238,1.5072
NaHF2-mp-632282,C2,1.4524,2.5789,6.6772
BaMnF4-mp-556850,Cmc2_1,1.4518,4.4172,2.3195
NbSbRu-mp-505297,F-43m,1.4503,8.7905,0.6232
Ga(IO3)3-mp-561104,P6_3,1.4493,4.9385,3.3313
RbVN2-mp-1029312,I-42d,1.446,3.8531,0.7071
K3ClO-mp-673798,Amm2,1.4458,1.9535,1.0273
Al(HO)3-mp-626073,Pc,1.4439,2.2983,4.606
Ta2CrNO5-mp-779348,P2_1,1.4434,8.0309,1.254
Li3CrBO5-mp-768521,Pna2_1,1.4383,2.9037,1.983
Na2V(PO4)2-mp-19329,P4bm,1.4359,2.7191,2.8437
YCr(WO4)2-mp-1290803,P1,1.4358,6.7049,2.1044
Ti2MnAl-mp-999052,F-43m,1.4357,4.8389,0.0567
Na3SnPCO7-mp-771335,P2_1,1.4353,3.1649,3.5921
LiCrO2-mp-753227,P6_3mc,1.4342,4.0511,2.963
SmBO3-mp-760477,Ama2,1.4326,5.4061,4.4306
Li5CrO5-mp-754233,C2,1.4265,2.6642,1.2659
BH6N-mp-675418,P1,1.4258,0.759,5.8884
Li2Fe2(CO3)3-mp-758191,Amm2,1.4249,2.9253,3.7745
K3TaO8-mp-4690,I-42m,1.4218,3.6783,3.0685
C3N4-mp-971683,P3_1,1.4216,2.3369,2.1936
SiO2-mp-7648,C222_1,1.4171,2.0595,5.4245
Mg2SbN3-mp-1029378,Cmc2_1,1.4163,4.2231,1.3583
NaPN2-mp-10572,I-42d,1.4107,3.0849,4.8677
Mn(HO)2-mp-626701,C2,1.4095,3.1211,1.7329
Na2ZnGeO4-mp-6402,Pc,1.4043,3.7103,2.6364
CuAsSe2-mp-29643,R3m,1.4043,5.0317,0.5216
Pb3SeO5-mp-510293,Cmc2_1,1.4036,7.34,2.4633
Li4Mn(TeO4)3-mp-777779,P2,1.4018,4.7747,0.3892
Li5BiO5-mp-29365,Cm,1.4007,4.4136,1.365
Ag2BiO3-mp-23558,Pnn2,1.3998,8.2177,0.4484
Ag5P(S2Cl)2-mp-559847,Amm2,1.3951,4.7926,1.2689
LiCuO2-mp-753845,P1,1.3908,3.7145,0.2533
InCl-mp-571636,Cmc2_1,1.3884,4.0025,1.7157
LiFeF4-mp-755693,R3m,1.3865,2.6931,3.3323
CrO3-mp-753740,Amm2,1.3862,2.6041,1.7372
Ti2FeNiSb2-mp-1217120,R3m,1.385,7.2217,0.9632
Na2CoGeO4-mp-545646,Pc,1.3839,3.6099,1.953
Li3VSiO5-mp-766229,Pna2_1,1.3794,2.7316,1.6549
BaMgSiO4-mp-560186,P6_3,1.379,3.8471,4.1139
MgO-mp-776911,P6_3mc,1.3763,2.7258,3.4257
Li2AlCoO4-mp-770553,Pna2_1,1.3746,3.1634,1.6087
Li8NiO5F-mp-760066,P1,1.3703,2.6895,1.1085
H3NO-mp-626543,P1,1.3686,0.9325,2.4708
SnB4O7-mp-13252,Pmn2_1,1.3638,4.307,3.93
TeSe-mp-1217322,P1,1.3635,5.4506,0.9465
GePb3O5-mp-562283,Cmm2,1.3631,8.0228,1.9847
LiIO3-mp-22955,P6_3,1.3558,4.3008,3.7485
Li2MnO2F-mp-753364,P1,1.3483,3.5763,0.8519
Mg3WN4-mp-1030015,P31c,1.3464,4.6763,1.9534
Li3CuF4-mp-752895,Pmn2_1,1.3435,2.9118,0.9648
Li4V2SiGeO10-mp-772830,P-4m2,1.343,3.3402,2.1886
Li2VOF4-mp-761267,Cmc2_1,1.3398,2.7609,1.5993
KGeBr3-mp-998412,Cm,1.3386,3.3227,2.1307
SiOs-mp-2488,P2_13,1.3381,13.1605,0.6209
VOF3-mp-753525,P4_1,1.3381,3.1106,3.2111
Sr(Si3N4)2-mp-567278,Imm2,1.3361,3.4034,3.2765
Cu2SiHgS4-mp-1106310,Pmn2_1,1.3356,5.0794,0.4011
FeP2O7-mp-25246,P2_1,1.335,2.7666,0.0195
CuPO4-mp-25886,Fdd2,1.3271,3.7121,0.0016
Ni(IO3)2-mp-755246,P2_1,1.3243,4.9652,3.0378
Na2ZnSiO4-mp-6391,Pc,1.3218,3.2396,3.1933
Ca(HO)2-mp-626644,C2,1.3213,2.1818,4.424
Li2CoSnO4-mp-754851,I-4m2,1.3152,5.2499,1.0373
Li2FeF5-mp-775758,P2_12_12_1,1.3117,2.6786,3.7168
Li2TiCoO4-mp-761572,I-4m2,1.3109,4.2185,0.2076
VAg3HgO4-mp-1216423,P1,1.3078,7.2602,1.445
NaSm3SiS7-mp-12485,P6_3,1.3061,4.6654,2.0944
MgGeN2-mp-7798,Pna2_1,1.3049,4.2909,2.6376
LaOF-mp-35555,F-43m,1.3037,6.0214,4.764
Sc2O3-mp-775837,Pna2_1,1.3027,3.6173,4.165
SiRu-mp-189,P2_13,1.3027,8.0351,0.2541
LiFeO2-mp-754977,P6_3mc,1.2929,4.0725,1.7778
Lu2Sb2O7-mp-755867,Ima2,1.2928,7.7769,1.4236
Li4CrGa3O8-mp-756775,P1,1.2875,3.8118,1.3628
Li6Cu(B2O5)2-mp-556002,P1,1.2871,2.4892,0.763
ZnO-mp-2133,P6_3mc,1.2856,5.4379,0.7316
MnP2O7-mp-27032,C2,1.2835,3.4718,0.9434
Li2Ni(PO3)4-mp-761495,C2,1.2824,2.7185,4.5274
LiFeSiO4-mp-764355,Pc,1.2813,2.6388,2.9497
LiAgF2-mp-758604,I-42d,1.2772,4.4702,1.3824
Li3VBO5-mp-768849,Pna2_1,1.272,2.8492,1.859
CIN-mp-30068,R3m,1.2712,2.7302,4.4808
LiMn2(PO4)2-mp-753752,C2,1.2667,2.8084,0.2851
Na2MgGeO4-mp-1210431,Pc,1.2663,3.0863,3.2641
Li3ZnPCO7-mp-772753,P2_1,1.2658,2.8741,4.3438
Li4CO4-mp-555320,Cmc2_1,1.264,2.2035,5.3513
TeMoWSeS2-mp-1030243,P3m1,1.2636,4.9976,0.3069
LiVN2-mp-1029932,Pna2_1,1.2617,3.0866,1.3146
Rb4CO4-mp-550314,R3,1.2607,3.5568,1.739
LiMnPO4-mp-25971,Fdd2,1.2603,3.3731,3.2642
Ce5Zr3O16-mp-1019595,C222,1.255,6.535,2.0072
Cd(HO)2-mp-28508,Cm,1.253,4.5856,0.9869
TaAsO4-mp-756401,Cmc2_1,1.2499,6.4969,2.9152
TmSbPd-mp-1018118,F-43m,1.2489,8.7989,0.3247
Li2ZnGe-mp-12411,F-43m,1.2487,4.2882,0.0745
AgHgAsS3-mp-6215,Cc,1.2485,5.5878,1.2158
Te2O5-mp-12177,P2_1,1.247,5.2921,1.6966
Ga2Te3(HO2)6-mp-543040,R3c,1.2444,4.4985,3.7634
Na4CoO3-mp-18762,Cc,1.2411,2.7322,1.1625
BeGeN2-mp-1019550,Pna2_1,1.2408,4.8497,3.4024
SrH4O3-mp-626755,P1,1.2405,2.9816,4.472
KV(CuSe2)2-mp-10091,Ama2,1.2379,4.3572,0.9137
Li2CrO2-mp-754913,Cmc2_1,1.2366,3.1028,1.4998
Li2FeSiO4-mp-18968,Pmn2_1,1.2353,3.1293,3.282
BN-mp-2653,P6_3mc,1.2344,3.452,5.363
CaHN-mp-34932,I4mm,1.2329,2.5552,2.4395
Li2SiO3-mp-5012,Cmc2_1,1.2298,2.4584,5.1122
Na6Ti2O7-mp-850957,Pc,1.2247,2.4561,3.0984
Li3MnOF4-mp-753509,Cm,1.2246,2.8116,1.3095
Zn(InS2)2-mp-541937,R3m,1.2245,4.1693,0.1358
Ag3PO4-mp-1229128,R3c,1.2242,6.0944,0.4491
Li3CrO4-mp-770632,Pmn2_1,1.2215,2.5849,1.1252
Cd2GaAgS4-mp-6356,Pmn2_1,1.2202,4.5467,1.0437
LiH4SNO4-mp-557560,Pna2_1,1.2179,1.8311,5.2109
TeOF2-mp-558387,P2_1,1.2176,4.6682,4.2002
CrHO2-mp-24040,Pmn2_1,1.217,4.2935,2.4943
GeI2-mp-567677,P-6m2,1.217,4.2206,2.165
Ca5P3ClO12-mp-39460,P6_3,1.2126,3.0574,5.3781
Li4VGa3O8-mp-771646,P1,1.2123,3.7766,1.6182
Li7VO5F-mp-752966,P1,1.2121,2.5264,1.8707
Na2Zn(SiO3)2-mp-6675,Fdd2,1.2071,2.9688,3.8767
Li7V(O2F)2-mp-760137,P1,1.2046,2.5213,2.2097
NaSiSbO5-mp-14730,Pna2_1,1.2027,3.7472,2.8708
Nd3CuGeS7-mp-554150,P6_3,1.2025,4.9793,1.7622
NaAlO2-mp-9212,Pna2_1,1.198,2.6686,3.8149
CdBiO3-mp-755478,R3,1.1968,8.0525,0.7926
VAg3O4-mp-19412,I-42m,1.1953,5.694,0.5961
Zn(InS2)2-mp-22253,P3m1,1.1945,4.1629,0.1074
SbOF-mp-753539,Pna2_1,1.1907,4.2976,3.3863
Na3VO4-mp-755436,Pmn2_1,1.1902,2.4668,4.0347
LiCdBO3-mp-6126,P-6,1.1902,4.345,2.1367
Na2VO3-mp-850201,Cmc2_1,1.19,2.7298,1.7817
Sb2TeSe2-mp-8612,R3m,1.1885,5.7573,0.4809
Hf3N4-mp-11660,I-43d,1.1884,12.9749,1.0259
Mn(HO)2-mp-625671,P1,1.1884,3.0219,1.5352
Li2AgF5-mp-753316,P1,1.1882,3.367,0.8915
LiCo(WO4)2-mp-25289,P1,1.1881,6.718,1.0951
FeOF-mp-758560,Pmn2_1,1.1877,4.3897,1.2488
LiCu(PO3)2-mp-752930,C222,1.1862,2.816,1.6146
KBi(PS3)2-mp-557437,P2_1,1.1812,3.2444,2.2314
Li5SiN3-mp-686208,P1,1.1812,2.1904,2.1599
Na2MgSiO4-mp-6406,Pc,1.1802,2.5748,3.7742
La3AgSnSe7-mp-17155,P6_3,1.179,6.0717,1.3576
InHO2-mp-504535,Pmn2_1,1.1783,5.9123,1.7764
Li5FeO3F2-mp-755038,Cm,1.1782,2.6845,2.7067
GePtS-mp-1101755,Pca2_1,1.1764,9.5017,0.9898
TmCuPbSe3-mp-865269,Cmc2_1,1.1763,7.7437,1.1519
TePb3(ClO2)2-mp-1217378,Amm2,1.1758,7.1851,2.0872
Mg(IO3)2-mp-38322,P2_1,1.1749,4.4254,3.4935
Ta9(FeS3)2-mp-3652,P-62m,1.1739,10.3231,0.0315
Li5MnOF5-mp-760276,P3m1,1.1717,2.3697,0.5905
PHPbO4-mp-1220034,Pc,1.1704,5.4511,3.8784
HgTe-mp-358,P3_121,1.1704,8.1536,0.4919
LiV(OF)2-mp-757948,P2_1,1.1682,2.7513,2.7656
FeHO2-mp-755285,P3m1,1.1682,3.7572,2.1488
Li2HN-mp-35695,R3m,1.1673,1.4075,2.4721
Bi(BO2)3-mp-23349,C2,1.1623,4.6722,4.0085
TaSbRu-mp-31454,F-43m,1.1617,11.2885,0.8956
Li3MnSi2O7-mp-753370,P1,1.1603,2.7094,1.1592
Mn(CuCl2)2-mp-34328,Amm2,1.1602,3.5198,1.1427
Sc4C3-mp-15661,I-43d,1.1592,3.7994,0.4656
TlGeF3-mp-998712,P1,1.157,5.234,3.2618
LiSiPCO7-mp-768161,P2_1,1.1558,2.5046,5.7648
Cd5(S2Cl)2-mp-1021494,Cm,1.155,4.1804,1.3708
LiFe3O3F4-mp-849524,R3m,1.1541,3.5046,2.4462
V3(O2F)2-mp-765508,P1,1.1498,3.8942,1.2464
Si(Bi3O5)4-mp-23492,I23,1.1488,8.8176,0.122
V2P4H3O16-mp-755425,P1,1.1487,2.833,1.1559
Li2MnP2HO8-mp-779443,P2_1,1.1472,2.9433,1.1674
MgSiN2-mp-15701,I-42d,1.1458,3.0865,3.4803
Al4CN3O-mp-10990,Cmc2_1,1.1437,2.4144,0.1388
Ce3Zr5O16-mp-1019589,C222,1.143,6.2466,1.7791
ZrMnO3-mp-754513,R3c,1.1421,5.0966,2.6175
FeSi-mp-871,P2_13,1.1419,6.3339,0.1664
Li6Fe(OF)3-mp-780876,R3m,1.1419,2.2632,2.7067
Ca4SnS6-mp-866473,Cc,1.1416,2.4943,2.2461
KNaGeO3-mp-558085,Pna2_1,1.1405,3.3009,3.0382
Li2AlFeO4-mp-770707,Pna2_1,1.1392,3.024,3.0695
LiSiNO-mp-6015,Pca2_1,1.1377,2.687,5.2948
Li3AsO4-mp-9197,Pmn2_1,1.136,3.0162,4.1579
TiMnO4-mp-775296,I-4m2,1.1344,4.0582,0.2933
CdCu2SiS4-mp-6449,Pmn2_1,1.134,4.2041,0.9866
ZnSi(AgS2)2-mp-1189914,Pc,1.1321,4.2496,1.6859
Sn2ClF3-mp-29252,P2_13,1.1314,4.2913,3.5658
TiCoSb-mp-5967,F-43m,1.1279,7.4161,1.0675
VCuO3-mp-562987,P1,1.1261,3.3709,0.8579
Ca2Ga2O5-mp-16433,Ima2,1.1256,4.4107,2.3148
Nd4Se3O4-mp-553278,Amm2,1.1253,6.5197,1.3313
DyHO2-mp-777422,Pmn2_1,1.1245,6.8978,4.7409
Ag2TeS3-mp-29163,Cc,1.123,4.9566,1.3065
Zn3Sn2O7-mvc-3343,Cmc2_1,1.123,6.4987,0.9899
BaGa2GeS6-mp-1227983,P1,1.123,3.7231,2.7968
CaZnSO-mp-7204,P6_3mc,1.1224,3.581,2.6853
LiMnBO3-mp-19131,P-6,1.1206,3.177,2.6005
Li2CrSiO4-mp-752524,Pmn2_1,1.1206,3.037,1.3115
Fe3PO7-mp-18775,R3m,1.1191,3.8507,2.2333
NaLi2AsO4-mp-9066,Pmn2_1,1.1166,3.0108,3.9215
Ba2TiOF6-mp-561256,Cc,1.116,4.6576,3.9638
LiMn2(PO4)2-mp-753476,P1,1.1137,2.9691,0.8106
Li2Si2O5-mp-4117,Ccc2,1.113,2.3619,5.352
LiBO2-mp-14232,I-42d,1.1115,2.7971,7.3274
Mn6O5F7-mp-752461,P1,1.111,4.1733,0.1452
BaCa(GaO2)4-mp-561446,Imm2,1.1099,4.7806,3.3608
ZnSeO4-mp-769365,Pmn2_1,1.1092,4.6749,2.1122
Sn2PClO4-mp-555836,Ama2,1.1057,4.105,2.5695
ZnSnO3-mp-13334,R3c,1.1033,6.5568,1.081
Zr3Sb4Pt3-mp-1207448,I-43d,1.1017,10.4589,0.7935
FeOF-mp-752975,Pmc2_1,1.0974,4.3512,1.3138
TlBi(PS3)2-mp-556592,P2_1,1.0962,4.3066,2.0483
La4Se3O4-mp-4412,Amm2,1.0961,6.0648,1.3342
YHO2-mp-754117,Pmn2_1,1.094,4.295,4.8493
Li4NbFe3O8-mp-755337,P1,1.0914,3.5251,2.5106
Li3Co2(GeO4)2-mp-753224,P1,1.0846,3.659,0.0621
Sm3CuSiS7-mp-554097,P6_3,1.0806,5.0154,1.7245
BaMnO3-mp-19267,P6_3cm,1.0802,5.4191,2.0629
Li2FeO2F-mp-849459,Cc,1.0801,3.5955,1.8154
Li3Fe2(SiO4)2-mp-850922,P1,1.0798,2.9247,1.8551
AsHPbO4-mp-1228828,Pc,1.0788,5.6662,3.1449
NaZn(HO)3-mp-695960,P4_2bc,1.0779,2.8543,3.1997
KNb(CuSe2)2-mp-6599,Ama2,1.0771,4.4491,1.4981
Pr4Se3O4-mp-30192,Amm2,1.0754,6.2695,1.3199
LiSn2P4H3O16-mp-759095,P1,1.0754,3.4926,3.3194
RbIO3-mp-27193,R3m,1.0753,4.3641,3.1942
Mg(HO)2-mp-626143,C2,1.075,2.2736,4.1941
Cs2CeO3-mp-768223,Cmc2_1,1.0734,5.0462,2.4439
Ga2PbO4-mp-20496,Ama2,1.073,6.1781,3.5212
TiZnN2-mp-1016108,Pna2_1,1.0712,4.7663,2.3663
Tb3CuSnS7-mp-554781,P6_3,1.0706,5.6558,1.6728
ZnSnN2-mp-1029469,Pna2_1,1.0696,6.3132,0.123
Zr3N4-mp-11661,I-43d,1.0691,6.9293,0.6862
NaNdPCO7-mp-767688,P2_1,1.0665,2.8943,0.1866
LiFeSiO4-mp-752893,Cc,1.0665,2.7187,2.9015
HoHO2-mp-755543,Pmn2_1,1.0661,7.1187,4.7585
BrF3-mp-23297,Cmc2_1,1.0616,3.2159,2.341
K3Ta3Si2O13-mp-16855,P-62m,1.0604,5.2997,2.9726
Fe4O5F3-mp-850878,Amm2,1.0562,4.3902,0.1334
Na2FeO3-mp-755627,Cmc2_1,1.0529,2.7959,1.5534
NaHO-mp-626000,P2_1,1.0514,1.9837,3.0075
NaH9O5-mp-625455,P1,1.0512,1.2825,4.0002
Tl3AsO4-mp-15573,P6_3,1.0507,6.4407,2.5882
PbO-mp-550714,Pca2_1,1.0493,7.8857,2.2424
Ag3SI-mp-632480,P1,1.0482,6.4967,0.1738
CaAlSiH-mp-568177,P3m1,1.046,2.2859,0.4074
Mn3TeO6-mp-770690,R3,1.0439,5.3106,0.5374
Hf3N2O3-mp-760360,Cmc2_1,1.0429,8.9752,3.3014
Ag8GeTe6-mp-685969,P1,1.0424,6.8498,0.0383
Sr2In2O5-mp-22512,Ima2,1.0402,5.5332,1.1205
Li2MnSi3O8-mp-753994,P1,1.0402,2.5088,2.6573
Li2GeO3-mp-15349,Cmc2_1,1.0398,3.3545,3.5792
LiSn2P4H3O16-mp-754500,P1,1.0383,3.4454,2.8497
Ca4YB3O10-mp-1214020,Cm,1.0382,3.1984,4.4495
Cd(HO)2-mp-625565,C2,1.0376,4.6035,1.7908
Ga2H6(SeO4)3-mp-542464,R3c,1.0354,3.7255,3.9647
TaAlO4-mp-760396,I4_1md,1.0311,7.0821,2.5896
LiVPO4-mp-763489,Fdd2,1.03,3.3033,2.6644
CsTa(BO3)2-mp-9309,Pmn2_1,1.0294,4.7552,3.4136
Ga3PO7-mp-3107,R3m,1.0291,4.6321,3.1481
MnPO4-mp-756668,Cc,1.0284,2.6542,0.9275
Ca3SiO5-mp-37657,P6_3mc,1.0272,2.9964,2.9302
Li4NbFe(TeO6)2-mp-774933,P1,1.025,4.8916,1.7695
H8PtO6-mp-625113,P1,1.0231,4.3962,1.5241
Li3Fe2(SiO4)2-mp-752644,P1,1.0224,3.0344,1.141
Li3GaSiO5-mp-16996,Pna2_1,1.0221,3.1444,3.6429
LiFeSi3O8-mp-758141,C2,1.022,2.5902,3.2099
La2MoO6-mp-546007,I-42m,1.0214,5.1326,3.6515
LiV2(OF)3-mp-754467,P1,1.0214,3.4094,0.9507
Ba3WO6-mp-697853,P1,1.0165,6.2534,2.5932
MnSiN2-mp-3606,Pna2_1,1.016,4.1421,0.5979
AcN-mp-866056,P6_3mc,1.0136,7.9177,0.0615
Al(HO)3-mp-626500,P1,1.0134,2.3085,4.8077
Li2VO3F-mp-759788,P1,1.0132,3.0895,2.498
B2O3-mp-717,Cmc2_1,1.0084,3.0157,8.3669
SrB4O7-mp-5540,Pmn2_1,1.0074,3.8871,7.2966
K3V5O14-mp-27704,P31m,1.0061,2.7825,2.3228
NbTlBr4O-mp-551826,C2,1.0059,4.9286,1.3074
KLiSO4-mp-560614,Pna2_1,1.0031,2.2414,5.2604
CsAs4F13-mp-30927,I-4,1.0027,3.436,5.2957
In(IO3)3-mp-23400,P6_3,1.0008,4.7838,3.4261
Zn3BPO7-mp-557343,Cm,1.0003,4.2282,3.2204
In5Se5Br-mp-510346,Pmn2_1,0.9967,5.6164,0.9158
Rb2ZrO3-mp-756156,Cmc2_1,0.9961,4.2222,3.541
LiCo2(BO3)2-mp-763318,P1,0.9945,3.4016,0.8922
LiSn2N3-mp-1029294,Cmc2_1,0.994,5.4557,0.8466
Tl3VO4-mp-29047,Imm2,0.9932,7.1423,2.7174
TiO2-mvc-11115,R3m,0.9926,3.5488,2.4625
LiGaO2-mp-5854,Pna2_1,0.9924,4.014,3.2018
Li3GaGeO5-mp-17685,Pna2_1,0.9914,3.6294,3.2659
SiPtSe-mp-1103261,Pca2_1,0.9901,9.2339,0.9748
BaZnO2-mp-4236,P3_121,0.9879,5.545,2.2892
Na3AsO4-mp-756044,Pmn2_1,0.9875,2.8148,3.2297
Ba2Ti(SiO4)2-mp-6081,P4bm,0.9868,4.2426,3.7512
NaV2Bi3O10-mp-1220913,P1,0.9859,6.0134,2.8973
ZnCu2SiS4-mp-1189702,Pc,0.9851,3.9575,1.61
Ti(Bi3O5)4-mp-23494,I23,0.9843,8.6902,2.3865
Na4ReN3-mp-10419,Cc,0.9839,3.9186,2.4466
Li3Mn2(CO3)4-mp-752801,P1,0.9837,2.3747,0.5704
SmYO3-mp-755685,Pna2_1,0.9821,6.3471,4.2072
Li2V(PO4)2-mp-540312,P2_1,0.9817,2.8989,1.447
Ge(Bi3O5)4-mp-23352,I23,0.9804,8.8195,2.4228
BaAlH5-mp-644097,Pna2_1,0.9797,3.3925,2.7635
PrOF-mp-36033,F-43m,0.979,6.2878,5.1926
Sr6Y2Al4O15-mp-1020715,C2,0.9781,4.3592,3.9869
Pr2CdS4-mp-36912,I-42d,0.9778,5.3588,1.8822
LiFe2(CO3)3-mp-753178,Pm,0.9774,2.9356,1.6027
Tl3AsSe3-mp-7684,R3m,0.9739,6.9713,1.192
Li2CdSnS4-mp-1188784,Pmn2_1,0.9723,3.3133,1.9446
LiAlS2-mp-1106183,Pna2_1,0.9718,2.0041,4.1051
NaPF3-mp-35683,P1,0.9703,1.7043,1.0381
Ca5(CrN3)2-mvc-11129,Pm,0.9685,3.0048,0.7929
BaGa2SiS6-mp-1227993,P1,0.9676,3.4586,3.0932
NdOF-mp-35208,F-43m,0.9675,6.5854,5.2925
Li10Si(PO6)2-mp-696125,P4_2mc,0.9666,2.2688,5.5817
LiV4O5F7-mp-755130,P1,0.9664,3.3839,1.4362
MnZn4Se5-mp-1221515,Cm,0.9653,4.9101,0.6375
C3N4-mp-567885,P-6m2,0.9652,2.1791,1.4341
Li5CoOF5-mp-850339,P3m1,0.9634,2.5594,1.0418
LiV2P4(HO8)2-mp-776478,P1,0.9627,2.9416,0.9582
Zr3N2O3-mp-754659,Cmc2_1,0.9614,4.907,2.7114
Ca2CrWO6-mvc-5908,P1,0.9588,5.6662,1.6101
Li2CdGeS4-mp-1189383,Pmn2_1,0.9587,3.0997,2.2567
FeOF-mp-759283,Pm,0.9587,4.3099,0.4785
Na2GeO3-mp-5784,Cmc2_1,0.9552,3.1989,2.9833
Li5NiOF5-mp-753062,P3m1,0.9532,2.5538,1.7733
Na3PO4-mp-1173671,Pmn2_1,0.9525,2.4214,3.8782
K4V5CdClO15-mp-560688,P4,0.9518,2.8118,2.3617
Cs2PbO3-mp-21521,Cmc2_1,0.9518,6.0748,1.6807
LiVF6-mp-753212,P3m1,0.9499,2.0907,3.2532
CaHClO-mp-642725,P6_3mc,0.9465,2.3606,5.3295
H4CSN2-mp-634059,Pmc2_1,0.9462,0.7184,2.8393
BaI2-mp-568536,P-62m,0.9443,4.9722,3.0488
PH6NO4-mp-757388,P2_12_12_1,0.9424,1.6385,4.9662
Li2CrFeO4-mp-754901,I-4m2,0.9424,4.1887,1.2916
MgFeF4-mvc-3677,C2,0.9408,3.8794,0.1298
Ba3V2S4O3-mp-18000,P6_3,0.9404,4.0976,0.4253
Li8Mn3CrO12-mp-765119,P1,0.9384,3.7396,0.9167
SmOF-mp-37381,F-43m,0.9373,7.1291,5.5421
Al2PbO4-mp-21892,Ama2,0.9364,5.2397,4.0403
BaCa2I6-mp-753460,Pc,0.934,3.8933,3.8794
Sn3PO4F3-mp-546757,R3,0.9339,4.1851,3.9144
Fe(HO)2-mp-626689,C2,0.9308,3.4028,2.28
TePbO3-mp-555021,P4_1,0.9307,7.08,2.7778
Na3PS4-mp-985584,I-43m,0.9288,2.1872,2.5533
H8W3Se(NO6)2-mp-25729,P6_3mc,0.923,4.8486,3.1096
AlF3-mp-635425,P1,0.9215,3.5297,6.7775
MgCu2SiSe4-mp-1188827,Pmn2_1,0.9214,4.5663,0.8051
LiCoGeO4-mp-763507,Pc,0.919,3.6481,1.3676
K3CrO8-mp-18876,I-42m,0.9145,2.713,1.8465
LiSi2N3-mp-5853,Cmc2_1,0.914,2.938,5.0687
