formula,space group,piezoelectric modulus (C/m^2),density (g/cm^3),band gap (eV)
Li3Cu3(PO4)2-mp-754308,P1,4.8462,3.8593,0.7025
SrNb6O16-mp-14482,Amm2,4.8337,4.8215,1.7137
YBiO3-mp-768221,R3c,4.8307,7.1744,3.1467
LiFeAs2O7-mp-18878,C2,4.7312,4.028,2.648
NbNO-mp-752463,I4_1md,4.701,4.9423,1.0384
Li2GePbS4-mp-19896,I-42m,4.6945,4.1047,2.4018
CrHO2-mp-23910,R3m,4.556,3.8748,3.0588
NaHO-mp-626506,Cm,4.5547,1.9686,2.802
BaTiO3-mp-5020,R3m,4.5404,5.697,2.6212
AlCo(WO4)2-mvc-643,P1,4.5394,6.8197,1.8137
NaNbO3-mp-4681,Pmc2_1,4.5008,4.3334,2.3685
NbVO4-mp-753679,Cmm2,4.4602,4.9033,0.6855
LaBiO3-mp-768310,R3c,4.4426,7.537,3.0885
NbO2F-mp-752415,Amm2,4.4054,3.7448,1.7144
LiTaO3-mp-3666,R3c,4.3959,7.1784,3.7746
VO2F-mp-759469,Cc,4.3769,3.2708,1.5549
Bi2O3-mp-1017551,P-4m2,4.3735,8.6471,0.2582
FeBiO3-mp-23501,R3c,4.3721,8.1044,1.3197
CrN2-mp-1016069,P1,4.3689,3.3272,0.2403
Na4S2O5-mp-37430,P1,4.3449,2.4093,2.3174
PbS-mp-20526,Aem2,4.3437,3.8606,2.2577
Li2MnBr4-mp-675475,Imm2,4.2605,3.844,1.5098
GaBiO3-mp-755568,R3c,4.2305,8.6766,3.0727
BaTiO3-mp-5777,Amm2,4.1626,5.7134,2.3733
Zn2NCl-mp-1189171,Pna2_1,4.1373,4.3346,1.9705
Na2Al2Si3O10-mp-1020141,C2,4.1174,2.5271,4.4513
InCuS2-mp-22736,I-42d,4.0163,4.6307,0.3052
LiV(TeO4)3-mp-756502,P2,3.9836,4.8955,1.4235
KNbO3-mp-5246,Amm2,3.969,4.3605,2.1256
Te2Mo3W(SeS2)2-mp-1027443,P3m1,3.9522,4.6036,0.3024
Ca2CoSi2O7-mp-18786,P-42_1m,3.9464,3.2214,3.221
Ba2NaNb5O15-mp-15983,P4bm,3.9331,5.0228,2.4751
NbI2O-mp-549720,C2,3.9211,5.1334,0.8429
GeBi2O5-mp-23446,Cmc2_1,3.8685,7.7742,2.5151
TlSbWO6-mp-1216623,Ima2,3.8629,7.0907,2.6966
K3Nb3(BO6)2-mp-558828,P31m,3.8545,3.6455,2.346
LiVF6-mp-753694,Cm,3.8429,2.332,3.2309
TiMnO3-mp-19376,R3c,3.8106,4.4929,1.8012
Ti3N2O3-mp-755047,Cmc2_1,3.7769,3.8688,1.7137
Li4NbFe(WO6)2-mp-755203,P1,3.7647,5.6928,2.3045
CsHO-mp-642682,P2_12_12_1,3.7313,3.8286,3.5583
NbCl2O-mp-1025567,C2,3.7281,3.2562,0.9322
Li4V(TeO4)3-mp-755674,P2,3.7257,4.7102,0.9351
NbBr2O-mp-550070,C2,3.7007,4.4521,0.9306
VFeSb-mp-567636,F-43m,3.6818,7.8237,0.5303
Na6PbO5-mp-563025,I4mm,3.676,3.8256,1.0646
Li4MnNb2WO12-mp-757199,P1,3.6639,5.0566,1.2721
K3Li2Nb5O15-mp-766938,P4bm,3.6515,4.0967,2.5679
Li4TiMn(WO6)2-mp-755149,P1,3.6392,5.6184,1.1048
TiPbO3-mp-20459,P4mm,3.6331,7.2951,1.9569
LiCoOF2-mp-850916,Cc,3.6316,3.786,0.2066
FeBiO3-mp-22949,R3m,3.6251,7.7734,1.8606
VCu3O4-mp-510657,I-42m,3.6117,5.3271,0.1588
Li4VCr(TeO6)2-mp-754916,P1,3.5864,4.7293,0.7673
BaTiO3-mp-5986,P4mm,3.5783,5.7486,1.8298
Li4CO4-mp-549207,Cm,3.5738,1.9083,4.1774
NbCrO4-mp-754908,I-4m2,3.5355,4.5611,1.112
LiMn2(CO3)4-mp-752632,P1,3.52,2.4183,1.1972
RbSnF3-mp-998193,P1,3.5127,3.8636,3.4835
BiPbF5-mp-35795,P1,3.4888,7.6113,4.2907
ZrZnN2-mp-1014244,P3m1,3.4389,6.0503,2.0033
VO2F-mp-753203,Cc,3.4249,3.313,1.719
Rb2PbO3-mp-21489,Cmc2_1,3.3862,5.5056,1.529
Li2CrWO6-mp-754450,R3,3.3632,5.682,0.4978
GeTe-mp-938,R3m,3.3392,5.9097,0.8215
LiCuS-mp-867689,Pmn2_1,3.3169,3.5138,0.7926
Mg2MnN3-mp-1029288,Cmc2_1,3.3001,3.3583,0.0171
KNbO3-mp-4342,P4mm,3.262,4.3654,1.5577
CrBiO3-mp-546027,R3c,3.2503,8.2168,1.9908
Sr(AsS2)2-mp-36577,P1,3.1756,3.095,1.6311
Li4NbCr(WO6)2-mp-755680,P1,3.1645,5.6965,1.8459
Te(WO4)2-mvc-667,P1,3.1329,5.9657,2.4121
CaGeN2-mp-7801,I-42d,3.1256,4.3105,3.0019
TiVO4-mp-761341,I4_1md,3.1109,4.2875,1.2085
Y3TaO7-mp-675821,P1,3.0998,6.0008,3.633
Sr2Nb2O7-mp-3870,Cmc2_1,3.0908,4.9273,2.8075
NaV(OF)2-mp-18953,P2_1,3.0894,2.9616,0.001
LiUO3-mp-8007,R3c,3.0727,7.4523,0.4853
Ba2Ti(GeO4)2-mp-6289,P4bm,3.0719,4.6057,3.7373
Te2MoWSeS-mp-1029213,P3m1,3.0688,5.5506,0.2759
TiFeO3-mp-19270,R3c,3.0063,4.6432,2.573
Li2FeP2HO8-mp-684770,Pc,3.0059,2.8119,2.1471
